id,name,year_published,image_url,source,source_url,source_notes
084ef711-ae05-43c3-8203-3a82cae5368a,Hitta björnungarna,,,legacy_unknown,,
b4e08980-737d-4dce-9d61-47e4943572a6,Clank!: Catacombs,,,legacy_unknown,,
3a721cf6-2b48-422b-b217-6ad6562b3ccf,Captain Silver,,,legacy_unknown,,
920fa2f5-f666-41cb-b058-682f36cbf1e0,Game 1287,,,legacy_unknown,,
a5a419e2-93d2-4e44-88df-b8ec17bc5345,My First Clock,,,legacy_unknown,,
ab371166-5f96-4115-97f6-aefd783035a4,KAPOW! Volume 2,,,legacy_unknown,,
f463574f-09f9-4995-80ce-8f6d2f0b8dcb,Charles S Roberts Best Post Napoleonic to Pre,,,legacy_unknown,,
c43c01cb-8bb6-4979-aad2-8ac083d58ab8,Bärenspiel,,,legacy_unknown,,
f7a276ce-bfb6-46f6-a000-cc9aa6574ff7,Charles S Roberts Best Pre World War Ii Board,,,legacy_unknown,,
50be2f9e-f35d-40b4-bed0-a708227a189d,Charles S Roberts Best Ancients to Pre Napole,,,legacy_unknown,,
d3fa0ae1-b6b6-4567-945e-b5fb33b473bd,Lucca Games Best Concept Art,,,legacy_unknown,,
121e84f7-ec22-44d6-9b04-ace751384e0e,Charles S Roberts Best Early Gunpowder Era Bo,,,legacy_unknown,,
33fba220-5cef-4fac-b41b-bda75543c4c7,Test board game with honor,0,,legacy_unknown,,
